Lake,date,MeanTemp
H3A,2019-08-30,16.735925925925926
H3A,2019-08-31,16.47298148148148
H3A,2019-09-01,16.3815
H3A,2019-09-02,15.952148148148147
H3A,2019-09-03,14.759962962962963
H3A,2019-09-04,14.377727272727272
H3A,2019-09-05,14.189654545454546
H3A,2019-09-06,14.0988
H3A,2019-09-07,14.079666666666666
H3A,2021-06-19,14.213833333333334
H3A,2021-06-20,13.928172413793103
H3A,2021-06-21,14.378206896551724
H3A,2021-06-22,14.140206896551724
H3A,2021-06-23,13.148
H3A,2021-06-24,13.311551724137932
H3A,2021-06-25,13.699827586206897
H3A,2021-06-26,13.755310344827587
H3A,2021-06-27,14.750310344827586
H3A,2021-06-28,15.404
H3A,2021-06-29,14.480241379310344
H3A,2021-06-30,13.046172413793103
H3A,2021-07-01,12.423862068965517
H3A,2021-07-02,12.464827586206896
H3A,2021-07-03,13.334931034482759
H3A,2021-07-04,13.144379310344828
H3A,2021-07-05,14.116310344827586
H3A,2021-07-06,14.635206896551724
H3A,2021-07-07,15.469655172413793
H3A,2021-07-08,15.904068965517242
H3A,2021-07-09,16.443793103448275
H3A,2021-07-10,15.878103448275862
H3A,2021-07-11,15.957172413793103
H3A,2021-07-12,15.77951724137931
H3A,2021-07-13,15.43696551724138
H3A,2021-07-14,15.746866666666667
H3A,2021-07-15,15.9314
H3A,2021-07-16,15.931967741935484
H3A,2021-07-17,16.067354838709676
H3A,2021-07-18,15.901258064516128
H3A,2021-07-19,15.044935483870967
H3A,2021-07-20,14.683225806451613
H3A,2021-07-21,15.083125
H3P,2019-07-15,4.3318
H3P,2019-07-16,4.313111111111112
H3P,2019-07-17,4.629222222222222
H3P,2019-07-18,5.397577777777777
H3P,2019-07-19,6.358933333333334
H3P,2019-07-20,7.543644444444444
H3P,2019-07-21,8.932521739130435
H3P,2019-07-22,10.091630434782608
H3P,2019-07-23,10.663434782608697
H3P,2019-07-24,10.554234042553192
H3P,2019-07-25,10.89168085106383
H3P,2019-07-26,10.862553191489361
H3P,2019-07-27,11.326446808510639
H3P,2019-07-28,12.549808510638298
H3P,2019-07-29,12.817170212765957
H3P,2019-07-30,13.018382978723404
H3P,2019-07-31,13.327851063829787
H3P,2019-08-01,13.843468085106382
H3P,2019-08-02,14.233531914893618
H3P,2019-08-03,14.552833333333334
H3P,2019-08-04,14.778816326530611
H3P,2019-08-05,15.118489795918368
H3P,2019-08-06,15.329081632653061
H3P,2019-08-07,15.43226530612245
H3P,2019-08-08,15.424591836734693
H3P,2019-08-09,15.38942857142857
H3P,2019-08-10,15.07569387755102
H3P,2019-08-11,14.741816326530612
H3P,2019-08-12,14.751448979591837
H3P,2019-08-13,15.0643
H3P,2019-08-14,15.39114
H3P,2019-08-15,15.714666666666666
H3P,2019-08-16,15.93921568627451
H3P,2019-08-17,16.117117647058823
H3P,2019-08-18,16.275882352941178
H3P,2019-08-19,16.387941176470587
H3P,2019-08-20,16.459019607843135
H3P,2019-08-21,16.451057692307693
H3P,2019-08-22,16.442115384615384
H3P,2019-08-23,16.549865384615384
H3P,2019-08-24,16.868615384615385
H3P,2019-08-25,17.24375
H3P,2019-08-26,17.264115384615383
H3P,2019-08-27,17.120830188679246
H3P,2019-08-28,16.956222222222223
H3P,2019-08-29,16.928074074074075
H3P,2019-08-30,16.85937037037037
H3P,2019-08-31,16.71638888888889
H3P,2019-09-01,16.59125925925926
H3P,2019-09-02,16.272092592592593
H3P,2019-09-03,15.540555555555557
H3P,2019-09-04,15.251054545454545
H3P,2019-09-05,14.898236363636364
H3P,2019-09-06,14.654472727272728
H3P,2019-09-07,14.718358974358974
H3P,2021-06-19,13.108333333333334
H3P,2021-06-20,12.853
H3P,2021-06-21,13.623931034482759
H3P,2021-06-22,13.527620689655173
H3P,2021-06-23,13.026206896551724
H3P,2021-06-24,12.873103448275861
H3P,2021-06-25,13.035827586206896
H3P,2021-06-26,13.550413793103449
H3P,2021-06-27,14.833689655172414
H3P,2021-06-28,14.866896551724137
H3P,2021-06-29,14.655724137931035
H3P,2021-06-30,13.527586206896553
H3P,2021-07-01,12.992965517241378
H3P,2021-07-02,13.065103448275861
H3P,2021-07-03,13.69996551724138
H3P,2021-07-04,13.47355172413793
H3P,2021-07-05,14.453724137931035
H3P,2021-07-06,14.813862068965518
H3P,2021-07-07,15.39096551724138
H3P,2021-07-08,15.720206896551725
H3P,2021-07-09,15.697172413793103
H3P,2021-07-10,15.58855172413793
H3P,2021-07-11,15.713586206896553
H3P,2021-07-12,15.634724137931034
H3P,2021-07-13,15.440310344827585
H3P,2021-07-14,15.5465
H3P,2021-07-15,15.6038
H3P,2021-07-16,15.664193548387097
H3P,2021-07-17,15.784387096774193
H3P,2021-07-18,15.781387096774193
H3P,2021-07-19,15.266903225806452
H3P,2021-07-20,14.998483870967743
H3P,2021-07-21,15.274375
H1A,2021-07-04,13.220833333333333
H1A,2021-07-05,12.926310344827586
H1A,2021-07-06,13.13893103448276
H1A,2021-07-07,13.799655172413793
H1A,2021-07-08,13.96496551724138
H1A,2021-07-09,14.487206896551724
H1A,2021-07-10,14.398206896551724
H1A,2021-07-11,14.503758620689654
H1A,2021-07-12,14.46403448275862
H1A,2021-07-13,14.444137931034483
H1A,2021-07-14,14.7213
H1A,2021-07-15,14.935033333333333
H1A,2021-07-16,14.933870967741935
H1A,2021-07-17,14.933870967741935
H1A,2021-07-18,14.983258064516129
H1A,2021-07-19,14.696354838709677
H1A,2021-07-20,14.476677419354838
H1A,2021-07-21,14.597
H1P,2021-07-22,14.597
H2A,2021-07-22,16.034125
H2P,2021-07-22,15.65625
H3A,2021-07-22,15.083125
H3P,2021-07-22,15.274375
